log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
compute_mismatch_3061329_62.out,mcz_td,mismatch,0:5:8.25,1,36.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_63.out,mcz_td,mismatch,0:5:7.93,1,36.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_64.out,mcz_td,mismatch,0:5:4.96,1,37.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_65.out,mcz_td,mismatch,0:5:7.98,1,37.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_66.out,mcz_td,mismatch,0:5:15.82,1,38.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_67.out,mcz_td,mismatch,0:5:7.73,1,38.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_68.out,mcz_td,mismatch,0:5:33.32,1,39.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_69.out,mcz_td,mismatch,0:5:37.56,1,39.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_70.out,mcz_td,mismatch,0:5:28.14,1,40.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_71.out,mcz_td,mismatch,0:5:35.87,1,40.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
